order_id,customer_id,order_ts,payload
5001,10,2023-05-01 20:03:00,"{""channel"":""web"",""device"":""desktop"",""items"":[{""product_id"":102,""qty"":1},{""product_id"":107,""qty"":3}],""promo"":{""applied"":false,""code"":null}}"
5002,11,2023-05-01 15:01:00,"{""channel"":""web"",""device"":""mobile"",""items"":[{""product_id"":106,""qty"":1},{""product_id"":109,""qty"":3}],""promo"":{""applied"":false,""code"":null}}"
5003,12,2023-05-03 15:15:00,"{""channel"":""web"",""device"":""mobile"",""items"":[{""product_id"":103,""qty"":2}],""promo"":{""applied"":true,""code"":""FREESHIP""}}"
5004,10,2023-05-03 14:15:00,"{""channel"":""web"",""device"":""desktop"",""items"":[{""product_id"":111,""qty"":2},{""product_id"":104,""qty"":2},{""product_id"":101,""qty"":1}],""promo"":{""applied"":false,""code"":null}}"
5005,10,2023-05-04 13:10:00,"{""channel"":""app"",""device"":""android"",""items"":[{""product_id"":102,""qty"":3}],""promo"":{""applied"":false,""code"":null}}"
5006,10,2023-05-05 19:14:00,"{""channel"":""app"",""device"":""android"",""items"":[{""product_id"":104,""qty"":3}],""promo"":{""applied"":false,""code"":null}}"
5007,12,2023-05-08 10:08:00,"{""channel"":""store"",""device"":""pos"",""items"":[{""product_id"":108,""qty"":4},{""product_id"":104,""qty"":2}],""promo"":{""applied"":false,""code"":null}}"
5008,6,2023-05-08 14:37:00,"{""channel"":""web"",""device"":""mobile"",""items"":[{""product_id"":104,""qty"":2},{""product_id"":108,""qty"":2}],""promo"":{""applied"":false,""code"":null}}"
5009,3,2023-05-09 15:49:00,"{""channel"":""web"",""device"":""mobile"",""items"":[{""product_id"":111,""qty"":1}],""promo"":{""applied"":false,""code"":null}}"
5010,13,2023-05-10 16:15:00,"{""channel"":""store"",""device"":""pos"",""items"":[{""product_id"":103,""qty"":2}],""promo"":{""applied"":true,""code"":""SAVE10""}}"
5011,7,2023-05-11 14:23:00,"{""channel"":""app"",""device"":""ios"",""items"":[{""product_id"":112,""qty"":1}],""promo"":{""applied"":false,""code"":null}}"
5012,1,2023-05-12 21:59:00,"{""channel"":""app"",""device"":""ios"",""items"":[{""product_id"":106,""qty"":1},{""product_id"":108,""qty"":1},{""product_id"":103,""qty"":1}],""promo"":{""applied"":false,""code"":null}}"
5013,1,2023-05-12 18:54:00,"{""channel"":""web"",""device"":""desktop"",""items"":[{""product_id"":108,""qty"":1}],""promo"":{""applied"":false,""code"":null}}"
5014,7,2023-05-16 10:50:00,"{""channel"":""store"",""device"":""pos"",""items"":[{""product_id"":109,""qty"":2},{""product_id"":103,""qty"":4}],""promo"":{""applied"":false,""code"":null}}"
5015,9,2023-05-17 17:21:00,"{""channel"":""web"",""device"":""mobile"",""items"":[{""product_id"":104,""qty"":1},{""product_id"":103,""qty"":1}],""promo"":{""applied"":false,""code"":null}}"
5016,5,2023-05-17 20:03:00,"{""channel"":""app"",""device"":""ios"",""items"":[{""product_id"":103,""qty"":1},{""product_id"":109,""qty"":2}],""promo"":{""applied"":false,""code"":null}}"
